ticker,date_detachement,montant,exercice
SPHC,2021-08-20,132.3,2020.0
SPHC,2022-08-02,365.4,2021.0
SPHC,2023-09-26,294.3,2022.0
SPHC,2024-08-08,64.8,2023.0
SPHC,2025-07-15,368.0,2024.0
STAC,2021-07-14,66.15,2020.0
STAC,2022-07-14,66.15,2021.0
STBC,2016-06-07,8150.0,2015.0
STBC,2017-06-15,4124.0,2016.0
STBC,2022-07-19,445.117,2021.0
STBC,2023-07-25,551.0,2022.0
STBC,2024-07-25,675.0,2023.0
STBC,2025-08-27,2375.0,2024.0
STBC,2026-08-12,1707.2,
TTLS,2016-07-13,935.0,2015.0
TTLS,2017-07-21,450.0,2016.0
TTLS,2018-07-25,56.25,2017.0
TTLS,2019-07-25,105.3,2018.0
TTLS,2020-12-18,105.3,2019.0
TTLS,2021-07-28,223.6,2020.0
TTLS,2022-07-20,187.3,2021.0
TTLS,2023-07-11,241.01,2022.0
TTLS,2024-06-26,207.58,2023.0
TTLS,2024-06-27,207.58,2023.0
TTLS,2025-07-09,222.4,2024.0
TTLS,2026-07-16,176.65,2025.0
UNXC,2017-07-06,868.0,2016.0
UNXC,2018-07-11,173.7,2017.0
UNXC,2019-07-09,181.8,2018.0
UNXC,2021-07-14,18.0,2020.0
UNXC,2022-07-27,60.75,2021.0
